uf;evento;data_referencia;total_peso
RO;Apreensão de Maconha;01/04/2024;527,00
RR;Apreensão de Maconha;01/04/2024;18,13
RS;Apreensão de Maconha;01/04/2024;2049,43
SC;Apreensão de Maconha;01/04/2024;2038,08
SE;Apreensão de Maconha;01/04/2024;207,03
SP;Apreensão de Maconha;01/04/2024;8475,19
TO;Apreensão de Maconha;01/04/2024;13,00
AC;Apreensão de Maconha;01/05/2024;61,31
AL;Apreensão de Maconha;01/05/2024;64,16
AM;Apreensão de Maconha;01/05/2024;2021,78
AP;Apreensão de Maconha;01/05/2024;0,34
BA;Apreensão de Maconha;01/05/2024;145,22
CE;Apreensão de Maconha;01/05/2024;238,38
DF;Apreensão de Maconha;01/05/2024;278,00
ES;Apreensão de Maconha;01/05/2024;297,38
GO;Apreensão de Maconha;01/05/2024;1281,17
MA;Apreensão de Maconha;01/05/2024;229,97
MG;Apreensão de Maconha;01/05/2024;
MS;Apreensão de Maconha;01/05/2024;97219,27
MT;Apreensão de Maconha;01/05/2024;936,68
PA;Apreensão de Maconha;01/05/2024;727,74
PB;Apreensão de Maconha;01/05/2024;98,94
PE;Apreensão de Maconha;01/05/2024;255,52
PI;Apreensão de Maconha;01/05/2024;0,09
PR;Apreensão de Maconha;01/05/2024;54133,86
RJ;Apreensão de Maconha;01/05/2024;
RN;Apreensão de Maconha;01/05/2024;19,01
RO;Apreensão de Maconha;01/05/2024;249,00
RR;Apreensão de Maconha;01/05/2024;154,69
RS;Apreensão de Maconha;01/05/2024;4631,28
SC;Apreensão de Maconha;01/05/2024;9106,32
SE;Apreensão de Maconha;01/05/2024;18,90
SP;Apreensão de Maconha;01/05/2024;12089,38
TO;Apreensão de Maconha;01/05/2024;15,60
AC;Apreensão de Maconha;01/06/2024;
AL;Apreensão de Maconha;01/06/2024;104,25
AM;Apreensão de Maconha;01/06/2024;2869,21
AP;Apreensão de Maconha;01/06/2024;0,78
BA;Apreensão de Maconha;01/06/2024;318,36
CE;Apreensão de Maconha;01/06/2024;395,94
DF;Apreensão de Maconha;01/06/2024;186,00
ES;Apreensão de Maconha;01/06/2024;178,22
GO;Apreensão de Maconha;01/06/2024;3775,92
MA;Apreensão de Maconha;01/06/2024;174,07
MG;Apreensão de Maconha;01/06/2024;
MS;Apreensão de Maconha;01/06/2024;58946,10
MT;Apreensão de Maconha;01/06/2024;2843,22
PA;Apreensão de Maconha;01/06/2024;593,16
PB;Apreensão de Maconha;01/06/2024;122,08
PE;Apreensão de Maconha;01/06/2024;807,46
PI;Apreensão de Maconha;01/06/2024;8,55
PR;Apreensão de Maconha;01/06/2024;76138,60
RJ;Apreensão de Maconha;01/06/2024;
RN;Apreensão de Maconha;01/06/2024;5,48
RO;Apreensão de Maconha;01/06/2024;405,00
RR;Apreensão de Maconha;01/06/2024;5,65
RS;Apreensão de Maconha;01/06/2024;1607,59
